avatar_id,cities,languages,dates,mobile,Count,prob
1,1,1,2,1,4,0.1111111111111111
2,1,1,3,2,4,0.1111111111111111
4,1,2,3,2,4,0.1111111111111111
7,1,2,2,1,2,0.05555555555555555
8,1,2,3,1,2,0.05555555555555555
12,1,2,4,2,2,0.05555555555555555
15,2,1,2,2,2,0.05555555555555555
16,2,2,2,1,1,0.027777777777777776
17,2,1,2,1,4,0.1111111111111111
18,1,1,2,2,3,0.08333333333333333
20,2,1,1,1,1,0.027777777777777776
24,3,1,2,1,1,0.027777777777777776
27,3,3,3,1,1,0.027777777777777776
28,3,1,3,1,1,0.027777777777777776
790,1,1,4,1,1,0.027777777777777776
792,2,1,3,2,2,0.05555555555555555
794,2,1,4,2,1,0.027777777777777776
